Dhid,East,North,Elev,TD,Exp_Line,Year
DH_934-1,10015.239,67980.272,840.87,80,,
DH_934-2,10030.643,67943.645,844.15,80,,
DH_1061-1,10055.621,67880.021,849.13,95,,
DH_1061-2,10068.044,67849.913,851.63,95,,
DH_1071-1,10081.744,67816.485,855.390,100,,
DH_1071-2,10087.202,67802.475,857.800,105,,
DH_1071-3,10098.567,67773.299,861.414,95,,
DH_1062-1,9722.886,68404.789,826.200,35,,
DH_1062-2,9718.319,68417.515,826.191,30,,
DH_1062-3,9710.326,68440.932,825.71,50,,
DH_2504-1,9910.940,67947.876,843.950,85,,
DH_2504-2,9915.301,67930.231,846.258,85,,
DH_2504-3,9917.366,67921.878,847.117,85,,
DH_1063-1,9926.836,67883.566,851.058,110,,
DH_1063-2,9938.254,67854.719,853.370,110,,
DH_2182-1,9958.141,67817.109,855.197,80,,
DH_2182-2,9969.909,67790.147,855.389,75,,
DH_1060-1,9589.90,68423.52,826.01,55,,
DH_1060-2,9593.003,68416.374,826.720,55,,
DH_1060-3,9599.436,68401.552,826.720,55,,
DH_1060-4,9611.056,68374.779,827.100,55,,
DH_869-1,9779.463,67940.058,846.09,110,,
DH_2179-1,9801.737,67886.776,850.48,120,,
DH_2179-2,9814.414,67856.577,854.56,130,,
DH_1064-1,9835.036,67823.02,859.26,115,,
DH_2180-1,9844.818,67801.218,860.65,110,,
DH_2180-2,9844.52,67787,863.91,100,,
DH_1059-1,9459.548,68382.028,822.200,25,,
DH_1059-2,9477.163,68338.963,824.000,35,,
DH_1059-3,9453.549,68407.817,820.84,35,,
DH_2173-1,9567.159,68132.203,832.000,110,,
DH_2173-2,9590.346,68075.471,834.300,120,,
DH_2173-3,9616.633,68011.159,841.900,140,,
DH_2178-1,9625.989,67988.269,842.727,40,,
DH_2178-2,9668.196,67894.559,851.238,135,,
DH_2174-1,9718.923,67775.674,868.35,145,,
DH_2174-2,9727.605,67748.326,874.42,150,,
DH_2174-3,9735.513,67724.092,879.26,145,,
DH_2175-1,9744.2,67697.268,883.78,115,,
DH_2175-2,9748.908,67682.281,886.02,110,,
DH_1057-1,9302.08,68371.20,824.39,55,,
DH_1057-2,9319.375,68339.413,824.920,45,,
DH_1057-3,9340.293,68300.976,825.760,55,,
DH_968-1,9478.202,68016.804,836.57,35,,
DH_1073-1,9648.224,67643.218,895.125,125,,
DH_1073-2,9661.927,67614.943,899.960,115,,
DH_1073-3,9670.268,67600.303,902.5,100,,
DH_1055-3,9254.685,68208.014,824.83,65,,
DH_1055-2,9238.4769,68253.428,826.23,55,,
DH_1055-1,9226.42,68287.211,827.9,55,,
DH_2167-1,9311.395,68028.853,839.14,105,,
DH_2167-2,9357.282,67956.083,848.36,100,,
DH_2167-3,9442.482,67820.97,864.73,115,,
DH_2168-1,9488.095,67744.421,874.26,120,,
DH_2168-2,9538.385,67649.485,883.86,115,,
DH_2168-3,9546.845,67632.851,884.5,110,,
DH_2165-1,9132.64,68209.00,824.89,55,,
DH_2165-2,9133.997,68197.699,825.352,60,,
DH_2165-3,9136.832,68174.079,825.994,70,,
DH_2162-1,8992.164,68216.916,825.045,40,,
DH_2162-2,8980.223,68272.635,822.26,50,,
DH_2163-1,9100.319,67928.825,836.91,125,,
DH_2164-1,9296.744,67617.156,870.68,85,,
DH_2158-1,8854.831,68182.787,823.889,55,,
DH_2158-2,8842.299,68225.09,823.02,50,,
DH_840-1,8929.718,67969.609,832.535,110,,
DH_1066-1,9181.822,67554.371,864.87,70,,
DH_2155-1,8719.689,68232.441,823.000,60,,
DH_2155-2,8731.029,68189.204,823.900,80,,
DH_887-1,8848.876,67887.283,836.843,80,,
DH_887-2,8889.045,67816.719,840.148,80,,
DH_887-3,8929.213,67746.155,843.452,85,,
DH_1067-1,8988.773,67641.096,849.392,70,,
DH_1067-2,8999.781,67621.420,850.760,70,,
DH_1069-1,9048.988,67532.478,855.38,70,,
DH_2419-1,8546.129,68232.816,821.000,55,,
DH_2420-1,8871.480,67577.066,848.774,75,,
DH_889-1,8888.486,67548.340,850.508,60,,
DH_889-2,8895.063,67538.680,851.027,68,,
DH_889-3,8920.360,67491.081,852.675,70,,
DH_889-4,8933.839,67463.336,853.959,60,,
DH_2601-1,8383.872,68321.304,819.25,50,,
DH_2150-1,8533.749,67981.301,828.156,140,,
DH_2151-1,8726.027,67594.602,846.151,75,,
DH_2151-2,8745.642,67554.040,847.729,70,,
DH_2151-3,8755.243,67532.882,848.442,70,,
DH_1068-1,8781.821,67474.307,850.288,65,,
DH_2602-1,8808.489,67421.536,852.397,70,,
